id;character;jlpt_level;stroke_count;meanings_id;meanings_en;kun_readings;on_readings;example_words;stroke_order_svg;radicals;mnemonic_id;mnemonic_en;order_index;created_at
kanji-n5-001;一;N5;1;satu;one;{ひと-つ};{イチ,イツ};"[{""meaning"":""satu"",""reading"":""ひとつ"",""word"":""一つ""}]";;{};Garis horizontal seperti angka 1;;1;2026-02-07 02:17:33.929972+00
kanji-n5-002;二;N5;2;dua;two;{ふた-つ};{ニ};"[{""meaning"":""dua"",""reading"":""ふたつ"",""word"":""二つ""}]";;{};Dua garis horizontal seperti angka 2;;2;2026-02-07 02:17:33.929972+00
kanji-n5-003;三;N5;3;tiga;three;{み-つ,みっ-つ};{サン};"[{""meaning"":""tiga"",""reading"":""みっつ"",""word"":""三つ""}]";;{};Tiga garis horizontal seperti angka 3;;3;2026-02-07 02:17:33.929972+00
kanji-n5-004;四;N5;5;empat;four;{よ,よん,よっ-つ};{シ};"[{""meaning"":""empat"",""reading"":""よっつ"",""word"":""四つ""}]";;{};Kotak dengan garis di dalam;;4;2026-02-07 02:17:33.929972+00
kanji-n5-005;五;N5;4;lima;five;{いつ-つ};{ゴ};"[{""meaning"":""lima"",""reading"":""いつつ"",""word"":""五つ""}]";;{};Seperti huruf X dengan garis horizontal;;5;2026-02-07 02:17:33.929972+00
kanji-n5-006;六;N5;4;enam;six;{む-つ,むっ-つ};{ロク};"[{""meaning"":""enam"",""reading"":""むっつ"",""word"":""六つ""}]";;{};Atap dengan dua kaki;;6;2026-02-07 02:17:33.929972+00
kanji-n5-007;七;N5;2;tujuh;seven;{なな,なな-つ};{シチ};"[{""meaning"":""tujuh"",""reading"":""ななつ"",""word"":""七つ""}]";;{};Seperti angka 7 terbalik;;7;2026-02-07 02:17:33.929972+00
kanji-n5-008;八;N5;2;delapan;eight;{や-つ,やっ-つ};{ハチ};"[{""meaning"":""delapan"",""reading"":""やっつ"",""word"":""八つ""}]";;{};Dua garis yang membuka ke bawah;;8;2026-02-07 02:17:33.929972+00
kanji-n5-009;九;N5;2;sembilan;nine;{ここの-つ};{キュウ,ク};"[{""meaning"":""sembilan"",""reading"":""ここのつ"",""word"":""九つ""}]";;{};Seperti huruf P tanpa lingkaran;;9;2026-02-07 02:17:33.929972+00
kanji-n5-010;十;N5;2;sepuluh;ten;{とお};{ジュウ,ジッ};"[{""meaning"":""sepuluh"",""reading"":""じゅう"",""word"":""十""}]";;{};Tanda tambah (+);;10;2026-02-07 02:17:33.929972+00
kanji-n5-011;百;N5;6;seratus;hundred;{};{ヒャク,ビャク};"[{""meaning"":""100 yen"",""reading"":""ひゃくえん"",""word"":""百円""}]";;{};Satu di atas putih;;11;2026-02-07 02:17:33.929972+00
kanji-n5-012;千;N5;3;seribu;thousand;{ち};{セン};"[{""meaning"":""1000 yen"",""reading"":""せんえん"",""word"":""千円""}]";;{};Garis melintang di atas badan;;12;2026-02-07 02:17:33.929972+00
kanji-n5-013;日;N5;4;hari, matahari;day, sun;{ひ,か};{ニチ,ジツ};"[{""meaning"":""Minggu"",""reading"":""にちようび"",""word"":""日曜日""}]";;{};Kotak seperti matahari;;13;2026-02-07 02:17:33.929972+00
kanji-n5-014;月;N5;4;bulan;month, moon;{つき};{ゲツ,ガツ};"[{""meaning"":""Senin"",""reading"":""げつようび"",""word"":""月曜日""}]";;{};Bulan sabit dalam kotak;;14;2026-02-07 02:17:33.929972+00
kanji-n5-015;火;N5;4;api;fire;{ひ};{カ};"[{""meaning"":""Selasa"",""reading"":""かようび"",""word"":""火曜日""}]";;{};Orang dengan api di samping;;15;2026-02-07 02:17:33.929972+00
kanji-n5-016;水;N5;4;air;water;{みず};{スイ};"[{""meaning"":""Rabu"",""reading"":""すいようび"",""word"":""水曜日""}]";;{};Aliran air yang mengalir;;16;2026-02-07 02:17:33.929972+00
kanji-n5-017;木;N5;4;pohon, kayu;tree, wood;{き,こ};{モク,ボク};"[{""meaning"":""Kamis"",""reading"":""もくようび"",""word"":""木曜日""}]";;{};Pohon dengan cabang dan akar;;17;2026-02-07 02:17:33.929972+00
kanji-n5-018;金;N5;8;emas, uang;gold, money;{かね,かな};{キン,コン};"[{""meaning"":""Jumat"",""reading"":""きんようび"",""word"":""金曜日""}]";;{};Atap dengan tiga kaki emas;;18;2026-02-07 02:17:33.929972+00
kanji-n5-019;土;N5;3;tanah;earth, soil;{つち};{ド,ト};"[{""meaning"":""Sabtu"",""reading"":""どようび"",""word"":""土曜日""}]";;{};Tanah dengan tanaman tumbuh;;19;2026-02-07 02:17:33.929972+00
kanji-n5-020;人;N5;2;orang;person;{ひと};{ジン,ニン};"[{""meaning"":""orang Jepang"",""reading"":""にほんじん"",""word"":""日本人""}]";;{};Dua kaki orang berjalan;;20;2026-02-07 02:17:33.929972+00
n4_001;不;N4;4;tidak, bukan;not, un-;"{""""}";{フ,ブ};"[{""meaning"":""tidak nyaman"",""reading"":""ふべん"",""word"":""不便""}]";;{};Sayap yang tidak bisa terbang;Wings that cannot fly;1;2026-02-07 02:58:55.163267+00
n4_002;世;N4;5;dunia, generasi;world, generation;{よ};{セイ,セ};"[{""meaning"":""dunia"",""reading"":""せかい"",""word"":""世界""}]";;{};Tiga generasi di atas tanah;Three generations on earth;2;2026-02-07 02:58:55.163267+00
n4_003;主;N4;5;tuan, utama;master, main;{ぬし,おも};{シュ,ス};"[{""meaning"":""tuan rumah"",""reading"":""しゅじん"",""word"":""主人""}]";;{};Raja di atas lilin;King above the candle;3;2026-02-07 02:58:55.163267+00
n4_004;乗;N4;9;naik, menumpang;ride, board;{の.る};{ジョウ};"[{""meaning"":""naik"",""reading"":""のる"",""word"":""乗る""}]";;{};Naik pohon dengan dua orang;Riding a tree with two people;4;2026-02-07 02:58:55.163267+00
n4_005;事;N4;8;hal, urusan;thing, matter;{こと};{ジ,ズ};"[{""meaning"":""pekerjaan"",""reading"":""しごと"",""word"":""仕事""}]";;{};Mulut bicara tentang urusan;Mouth speaking about matters;5;2026-02-07 02:58:55.163267+00
n4_006;京;N4;8;ibukota;capital;{みやこ};{キョウ,ケイ};"[{""meaning"":""Tokyo"",""reading"":""とうきょう"",""word"":""東京""}]";;{};Atap besar di atas kecil;Big roof above small;6;2026-02-07 02:58:55.163267+00
n4_007;仕;N4;5;melayani, pekerjaan;serve, work;{つか.える};{シ,ジ};"[{""meaning"":""pekerjaan"",""reading"":""しごと"",""word"":""仕事""}]";;{};Orang yang melayani;Person who serves;7;2026-02-07 02:58:55.163267+00
n4_008;代;N4;5;generasi, mengganti;generation, substitute;{か.わる,よ};{ダイ,タイ};"[{""meaning"":""era"",""reading"":""じだい"",""word"":""時代""}]";;{};Orang dengan panah;Person with arrow;8;2026-02-07 02:58:55.163267+00
n4_009;以;N4;5;dengan, sejak;by means of, since;{もっ.て};{イ};"[{""meaning"":""lebih dari"",""reading"":""いじょう"",""word"":""以上""}]";;{};Orang membawa sesuatu;Person carrying something;9;2026-02-07 02:58:55.163267+00
n4_010;会;N4;6;pertemuan, bertemu;meeting, meet;{あ.う};{カイ,エ};"[{""meaning"":""perusahaan"",""reading"":""かいしゃ"",""word"":""会社""}]";;{};Atap tempat berkumpul;Roof where people gather;10;2026-02-07 02:58:55.163267+00
n4_011;住;N4;7;tinggal;live, reside;{す.む};{ジュウ};"[{""meaning"":""alamat"",""reading"":""じゅうしょ"",""word"":""住所""}]";;{};Orang dengan tuan tanah;Person with landlord;11;2026-02-07 02:58:55.163267+00
n4_012;体;N4;7;tubuh;body;{からだ};{タイ,テイ};"[{""meaning"":""tubuh"",""reading"":""からだ"",""word"":""体""}]";;{};Orang dengan dasar;Person with base;12;2026-02-07 02:58:55.163267+00
n4_013;作;N4;7;membuat;make, create;{つく.る};{サク,サ};"[{""meaning"":""membuat"",""reading"":""つくる"",""word"":""作る""}]";;{};Orang membuat sesuatu;Person making something;13;2026-02-07 02:58:55.163267+00
n4_014;使;N4;8;menggunakan;use;{つか.う};{シ};"[{""meaning"":""menggunakan"",""reading"":""つかう"",""word"":""使う""}]";;{};Orang menggunakan alat;Person using a tool;14;2026-02-07 02:58:55.163267+00
n4_015;便;N4;9;nyaman, surat;convenient, mail;{たよ.り};{ベン,ビン};"[{""meaning"":""praktis"",""reading"":""べんり"",""word"":""便利""}]";;{};Orang dengan perubahan;Person with change;15;2026-02-07 02:58:55.163267+00
n4_016;借;N4;10;meminjam;borrow;{か.りる};{シャク};"[{""meaning"":""meminjam"",""reading"":""かりる"",""word"":""借りる""}]";;{};Orang meminjam dari masa lalu;Person borrowing from the past;16;2026-02-07 02:58:55.163267+00
n4_017;働;N4;13;bekerja;work;{はたら.く};{ドウ};"[{""meaning"":""bekerja"",""reading"":""はたらく"",""word"":""働く""}]";;{};Orang bergerak berat;Person moving heavily;17;2026-02-07 02:58:55.163267+00
n4_018;元;N4;4;asal, dasar;origin, base;{もと};{ゲン,ガン};"[{""meaning"":""sehat/bersemangat"",""reading"":""げんき"",""word"":""元気""}]";;{};Dua kaki sebagai dasar;Two legs as base;18;2026-02-07 02:58:55.163267+00
n4_019;兄;N4;5;kakak laki-laki;older brother;{あに};{ケイ,キョウ};"[{""meaning"":""kakak laki-laki"",""reading"":""あに"",""word"":""兄""}]";;{};Mulut di atas kaki;Mouth above legs;19;2026-02-07 02:58:55.163267+00
n4_020;光;N4;6;cahaya;light;{ひか.る,ひかり};{コウ};"[{""meaning"":""cahaya"",""reading"":""ひかり"",""word"":""光""}]";;{};Api di atas kaki;Fire above legs;20;2026-02-07 02:58:55.163267+00
n4_021;写;N4;5;menyalin, foto;copy, photograph;{うつ.す};{シャ};"[{""meaning"":""foto"",""reading"":""しゃしん"",""word"":""写真""}]";;{};Atap dengan tanda;Roof with mark;21;2026-02-07 02:58:55.163267+00
n4_022;冬;N4;5;musim dingin;winter;{ふゆ};{トウ};"[{""meaning"":""musim dingin"",""reading"":""ふゆ"",""word"":""冬""}]";;{};Es di bawah atap;Ice under roof;22;2026-02-07 02:58:55.163267+00
n4_023;切;N4;4;memotong;cut;{き.る};{セツ,サイ};"[{""meaning"":""memotong"",""reading"":""きる"",""word"":""切る""}]";;{};Pisau yang tajam;Sharp knife;23;2026-02-07 02:58:55.163267+00
n4_024;別;N4;7;berbeda, berpisah;separate, different;{わか.れる};{ベツ};"[{""meaning"":""berpisah"",""reading"":""わかれる"",""word"":""別れる""}]";;{};Mulut dan pisau;Mouth and knife;24;2026-02-07 02:58:55.163267+00
n4_025;力;N4;2;kekuatan;power, strength;{ちから};{リョク,リキ};"[{""meaning"":""kekuatan"",""reading"":""ちから"",""word"":""力""}]";;{};Otot lengan;Arm muscle;25;2026-02-07 02:58:55.163267+00
n4_026;動;N4;11;bergerak;move;{うご.く};{ドウ};"[{""meaning"":""bergerak"",""reading"":""うごく"",""word"":""動く""}]";;{};Berat dengan kekuatan;Heavy with power;26;2026-02-07 02:58:55.163267+00
n4_027;勉;N4;10;belajar giat;study hard;"{""""}";{ベン};"[{""meaning"":""belajar"",""reading"":""べんきょう"",""word"":""勉強""}]";;{};Berusaha dengan kekuatan;Striving with power;27;2026-02-07 02:58:55.163267+00
n4_028;医;N4;7;kedokteran;medicine, doctor;"{""""}";{イ};"[{""meaning"":""dokter"",""reading"":""いしゃ"",""word"":""医者""}]";;{};Panah di kotak;Arrow in box;28;2026-02-07 02:58:55.163267+00
n4_029;去;N4;5;pergi, masa lalu;go, past;{さ.る};{キョ,コ};"[{""meaning"":""masa lalu"",""reading"":""かこ"",""word"":""過去""}]";;{};Tanah dengan atap;Earth with roof;29;2026-02-07 02:58:55.163267+00
n4_030;台;N4;5;meja, alas;stand, platform;"{""""}";{ダイ,タイ};"[{""meaning"":""topan"",""reading"":""たいふう"",""word"":""台風""}]";;{};Mulut dengan atap;Mouth with roof;30;2026-02-07 02:58:55.163267+00
n4_031;同;N4;6;sama;same;{おな.じ};{ドウ};"[{""meaning"":""sama"",""reading"":""おなじ"",""word"":""同じ""}]";;{};Mulut di kotak;Mouth in box;31;2026-02-07 02:58:55.163267+00
n4_032;味;N4;8;rasa;taste, flavor;{あじ};{ミ};"[{""meaning"":""arti"",""reading"":""いみ"",""word"":""意味""}]";;{};Mulut dengan belum;Mouth with not yet;32;2026-02-07 02:58:55.163267+00
n4_033;品;N4;9;barang;goods, article;{しな};{ヒン};"[{""meaning"":""barang"",""reading"":""しなもの"",""word"":""品物""}]";;{};Tiga mulut;Three mouths;33;2026-02-07 02:58:55.163267+00
n4_034;員;N4;10;anggota;member;"{""""}";{イン};"[{""meaning"":""anggota"",""reading"":""かいいん"",""word"":""会員""}]";;{};Mulut dengan uang;Mouth with money;34;2026-02-07 02:58:55.163267+00
n4_035;問;N4;11;bertanya;question, ask;{と.う};{モン};"[{""meaning"":""masalah"",""reading"":""もんだい"",""word"":""問題""}]";;{};Pintu dengan mulut;Gate with mouth;35;2026-02-07 02:58:55.163267+00
n4_036;回;N4;6;putaran, kali;turn, time;{まわ.る};{カイ,エ};"[{""meaning"":""berputar"",""reading"":""まわる"",""word"":""回る""}]";;{};Kotak berputar;Rotating box;36;2026-02-07 02:58:55.163267+00
n4_037;図;N4;7;gambar, peta;figure, map;{はか.る};{ズ,ト};"[{""meaning"":""peta"",""reading"":""ちず"",""word"":""地図""}]";;{};Kotak dengan tanda;Box with mark;37;2026-02-07 02:58:55.163267+00
n4_038;地;N4;6;tanah, bumi;ground, earth;"{""""}";{チ,ジ};"[{""meaning"":""bawah tanah"",""reading"":""ちか"",""word"":""地下""}]";;{};Tanah dengan tanda;Earth with mark;38;2026-02-07 02:58:55.163267+00
n4_039;場;N4;12;tempat;place;{ば};{ジョウ};"[{""meaning"":""tempat"",""reading"":""ばしょ"",""word"":""場所""}]";;{};Tanah dengan matahari;Earth with sun;39;2026-02-07 02:58:55.163267+00
n4_040;声;N4;7;suara;voice;{こえ};{セイ,ショウ};"[{""meaning"":""suara"",""reading"":""こえ"",""word"":""声""}]";;{};Pagi dengan telinga;Morning with ear;40;2026-02-07 02:58:55.163267+00
n4_041;売;N4;7;menjual;sell;{う.る};{バイ};"[{""meaning"":""menjual"",""reading"":""うる"",""word"":""売る""}]";;{};Atap dengan kaki;Roof with legs;41;2026-02-07 02:58:55.163267+00
n4_042;夏;N4;10;musim panas;summer;{なつ};{カ,ゲ};"[{""meaning"":""musim panas"",""reading"":""なつ"",""word"":""夏""}]";;{};Kepala dengan kaki;Head with legs;42;2026-02-07 02:58:55.163267+00
n4_043;夕;N4;3;malam;evening;{ゆう};{セキ};"[{""meaning"":""sore hari"",""reading"":""ゆうがた"",""word"":""夕方""}]";;{};Bulan yang miring;Tilted moon;43;2026-02-07 02:58:55.163267+00
n4_044;多;N4;6;banyak;many, much;{おお.い};{タ};"[{""meaning"":""banyak"",""reading"":""おおい"",""word"":""多い""}]";;{};Dua malam;Two evenings;44;2026-02-07 02:58:55.163267+00
n4_045;夜;N4;8;malam;night;{よる,よ};{ヤ};"[{""meaning"":""malam"",""reading"":""よる"",""word"":""夜""}]";;{};Orang dengan malam;Person with evening;45;2026-02-07 02:58:55.163267+00
n4_046;太;N4;4;tebal, gemuk;thick, fat;{ふと.い};{タイ,タ};"[{""meaning"":""tebal"",""reading"":""ふとい"",""word"":""太い""}]";;{};Besar dengan titik;Big with dot;46;2026-02-07 02:58:55.163267+00
n4_047;奥;N4;12;dalam;deep inside;{おく};{オウ};"[{""meaning"":""istri (orang lain)"",""reading"":""おくさん"",""word"":""奥さん""}]";;{};Atap dengan beras;Roof with rice;47;2026-02-07 02:58:55.163267+00
n4_048;妹;N4;8;adik perempuan;younger sister;{いもうと};{マイ};"[{""meaning"":""adik perempuan"",""reading"":""いもうと"",""word"":""妹""}]";;{};Wanita yang belum;Woman who is not yet;48;2026-02-07 02:58:55.163267+00
n4_049;姉;N4;8;kakak perempuan;older sister;{あね};{シ};"[{""meaning"":""kakak perempuan"",""reading"":""あね"",""word"":""姉""}]";;{};Wanita dengan pasar;Woman with market;49;2026-02-07 02:58:55.163267+00
n4_050;始;N4;8;mulai;begin, start;{はじ.める};{シ};"[{""meaning"":""memulai"",""reading"":""はじめる"",""word"":""始める""}]";;{};Wanita dengan awal;Woman with beginning;50;2026-02-07 02:58:55.163267+00
n4_051;婚;N4;11;pernikahan;marriage;"{""""}";{コン};"[{""meaning"":""pernikahan"",""reading"":""けっこん"",""word"":""結婚""}]";;{};Wanita dengan matahari terbenam;Woman with sunset;51;2026-02-07 02:59:41.845716+00
n4_052;届;N4;8;menyampaikan;deliver, reach;{とど.く};{トドケ};"[{""meaning"":""menyampaikan"",""reading"":""とどける"",""word"":""届ける""}]";;{};Atap dengan orang;Roof with person;52;2026-02-07 02:59:41.845716+00
n4_053;届;N4;8;menyampaikan;deliver;"{""""}";{カイ};"[{""meaning"":""sampai"",""reading"":""とどく"",""word"":""届く""}]";;{};Pintu dengan semua;Gate with all;53;2026-02-07 02:59:41.845716+00
n4_054;屋;N4;9;toko, rumah;shop, house;{や};{オク};"[{""meaning"":""kamar"",""reading"":""へや"",""word"":""部屋""}]";;{};Atap dengan sampai;Roof with arrive;54;2026-02-07 02:59:41.845716+00
n4_055;届;N4;8;sampai;reach;{とど.く};{カイ};"[{""meaning"":""sampai"",""reading"":""とどく"",""word"":""届く""}]";;{};Atap dengan orang;Roof reaching person;55;2026-02-07 02:59:41.845716+00
n4_056;工;N4;3;pekerjaan, industri;work, industry;"{""""}";{コウ,ク};"[{""meaning"":""pabrik"",""reading"":""こうじょう"",""word"":""工場""}]";;{};Palang kerja;Work beam;56;2026-02-07 02:59:41.845716+00
n4_057;度;N4;9;derajat, kali;degree, time;{たび};{ド,ト};"[{""meaning"":""kali ini"",""reading"":""こんど"",""word"":""今度""}]";;{};Atap dengan mengukur;Roof with measuring;57;2026-02-07 02:59:41.845716+00
n4_058;広;N4;5;luas;wide, spacious;{ひろ.い};{コウ};"[{""meaning"":""luas"",""reading"":""ひろい"",""word"":""広い""}]";;{};Atap yang luas;Wide roof;58;2026-02-07 02:59:41.845716+00
n4_059;店;N4;8;toko;shop, store;{みせ};{テン};"[{""meaning"":""toko"",""reading"":""みせ"",""word"":""店""}]";;{};Atap dengan ramalan;Roof with fortune;59;2026-02-07 02:59:41.845716+00
n4_060;引;N4;4;menarik;pull;{ひ.く};{イン};"[{""meaning"":""menarik"",""reading"":""ひく"",""word"":""引く""}]";;{};Busur ditarik;Bow pulled;60;2026-02-07 02:59:41.845716+00
n4_061;弟;N4;7;adik laki-laki;younger brother;{おとうと};{テイ,ダイ};"[{""meaning"":""adik laki-laki"",""reading"":""おとうと"",""word"":""弟""}]";;{};Busur dengan urutan;Bow with order;61;2026-02-07 02:59:41.845716+00
n4_062;弱;N4;10;lemah;weak;{よわ.い};{ジャク};"[{""meaning"":""lemah"",""reading"":""よわい"",""word"":""弱い""}]";;{};Dua busur kecil;Two small bows;62;2026-02-07 02:59:41.845716+00
n4_063;強;N4;11;kuat;strong;{つよ.い};{キョウ,ゴウ};"[{""meaning"":""kuat"",""reading"":""つよい"",""word"":""強い""}]";;{};Busur dengan serangga;Bow with insect;63;2026-02-07 02:59:41.845716+00
n4_064;当;N4;6;tepat, menang;hit, correct;{あ.たる};{トウ};"[{""meaning"":""benar"",""reading"":""ほんとう"",""word"":""本当""}]";;{};Atap kecil dengan tanda;Small roof with mark;64;2026-02-07 02:59:41.845716+00
n4_065;形;N4;7;bentuk;shape, form;{かたち};{ケイ,ギョウ};"[{""meaning"":""bentuk"",""reading"":""かたち"",""word"":""形""}]";;{};Rambut dengan pola;Hair with pattern;65;2026-02-07 02:59:41.845716+00
n4_066;待;N4;9;menunggu;wait;{ま.つ};{タイ};"[{""meaning"":""menunggu"",""reading"":""まつ"",""word"":""待つ""}]";;{};Langkah dengan kuil;Step with temple;66;2026-02-07 02:59:41.845716+00
n4_067;後;N4;9;setelah, belakang;after, behind;{あと,うし.ろ};{ゴ,コウ};"[{""meaning"":""belakang"",""reading"":""うしろ"",""word"":""後ろ""}]";;{};Langkah dengan benang;Step with thread;67;2026-02-07 02:59:41.845716+00
n4_068;心;N4;4;hati, pikiran;heart, mind;{こころ};{シン};"[{""meaning"":""tenang"",""reading"":""あんしん"",""word"":""安心""}]";;{};Jantung;Heart;68;2026-02-07 02:59:41.845716+00
n4_069;思;N4;9;berpikir;think;{おも.う};{シ};"[{""meaning"":""berpikir"",""reading"":""おもう"",""word"":""思う""}]";;{};Sawah dengan hati;Field with heart;69;2026-02-07 02:59:41.845716+00
n4_070;急;N4;9;tergesa-gesa;hurry;{いそ.ぐ};{キュウ};"[{""meaning"":""terburu-buru"",""reading"":""いそぐ"",""word"":""急ぐ""}]";;{};Tangan dengan hati;Hand with heart;70;2026-02-07 02:59:41.845716+00
n4_071;悪;N4;11;buruk, jahat;bad, evil;{わる.い};{アク,オ};"[{""meaning"":""buruk"",""reading"":""わるい"",""word"":""悪い""}]";;{};Kedua dengan hati;Second with heart;71;2026-02-07 02:59:41.845716+00
n4_072;意;N4;13;maksud, arti;meaning, intention;"{""""}";{イ};"[{""meaning"":""arti"",""reading"":""いみ"",""word"":""意味""}]";;{};Suara dengan hati;Sound with heart;72;2026-02-07 02:59:41.845716+00
n4_073;所;N4;8;tempat;place;{ところ};{ショ};"[{""meaning"":""tempat"",""reading"":""ばしょ"",""word"":""場所""}]";;{};Pintu dengan kapak;Door with axe;73;2026-02-07 02:59:41.845716+00
n4_074;持;N4;9;memegang;hold;{も.つ};{ジ};"[{""meaning"":""memegang"",""reading"":""もつ"",""word"":""持つ""}]";;{};Tangan dengan kuil;Hand with temple;74;2026-02-07 02:59:41.845716+00
n4_075;指;N4;9;jari, menunjuk;finger, point;{ゆび,さ.す};{シ};"[{""meaning"":""jari"",""reading"":""ゆび"",""word"":""指""}]";;{};Tangan dengan sendok;Hand with spoon;75;2026-02-07 02:59:41.845716+00
n4_076;教;N4;11;mengajar;teach;{おし.える};{キョウ};"[{""meaning"":""mengajar"",""reading"":""おしえる"",""word"":""教える""}]";;{};Anak dengan tongkat;Child with stick;76;2026-02-07 02:59:41.845716+00
n4_077;文;N4;4;tulisan, kalimat;writing, sentence;{ふみ};{ブン,モン};"[{""meaning"":""budaya"",""reading"":""ぶんか"",""word"":""文化""}]";;{};Pola bersilang;Cross pattern;77;2026-02-07 02:59:41.845716+00
n4_078;料;N4;10;bahan, biaya;material, fee;"{""""}";{リョウ};"[{""meaning"":""masakan"",""reading"":""りょうり"",""word"":""料理""}]";;{};Beras dengan ukuran;Rice with measure;78;2026-02-07 02:59:41.845716+00
n4_079;方;N4;4;arah, cara;direction, way;{かた};{ホウ};"[{""meaning"":""orang (sopan)"",""reading"":""かた"",""word"":""方""}]";;{};Dua arah;Two directions;79;2026-02-07 02:59:41.845716+00
n4_080;旅;N4;10;perjalanan;travel;{たび};{リョ};"[{""meaning"":""perjalanan"",""reading"":""りょこう"",""word"":""旅行""}]";;{};Bendera dengan pakaian;Flag with clothes;80;2026-02-07 02:59:41.845716+00
n4_081;族;N4;11;keluarga, suku;family, tribe;"{""""}";{ゾク};"[{""meaning"":""keluarga"",""reading"":""かぞく"",""word"":""家族""}]";;{};Bendera dengan panah;Flag with arrow;81;2026-02-07 02:59:41.845716+00
n4_082;早;N4;6;awal, cepat;early, fast;{はや.い};{ソウ,サッ};"[{""meaning"":""cepat"",""reading"":""はやい"",""word"":""早い""}]";;{};Matahari dengan satu;Sun with one;82;2026-02-07 02:59:41.845716+00
n4_083;明;N4;8;terang, jelas;bright, clear;{あか.るい};{メイ,ミョウ};"[{""meaning"":""besok"",""reading"":""あした"",""word"":""明日""}]";;{};Matahari dengan bulan;Sun with moon;83;2026-02-07 02:59:41.845716+00
n4_084;映;N4;9;memantulkan, film;reflect, movie;{うつ.す};{エイ};"[{""meaning"":""film"",""reading"":""えいが"",""word"":""映画""}]";;{};Matahari dengan tengah;Sun with center;84;2026-02-07 02:59:41.845716+00
n4_085;春;N4;9;musim semi;spring;{はる};{シュン};"[{""meaning"":""musim semi"",""reading"":""はる"",""word"":""春""}]";;{};Tiga dengan matahari;Three with sun;85;2026-02-07 02:59:41.845716+00
n4_086;昼;N4;9;siang;noon, daytime;{ひる};{チュウ};"[{""meaning"":""siang"",""reading"":""ひる"",""word"":""昼""}]";;{};Sendok dengan matahari;Spoon with sun;86;2026-02-07 02:59:41.845716+00
n4_087;暗;N4;13;gelap;dark;{くら.い};{アン};"[{""meaning"":""gelap"",""reading"":""くらい"",""word"":""暗い""}]";;{};Matahari dengan suara;Sun with sound;87;2026-02-07 02:59:41.845716+00
n4_088;曜;N4;18;hari;day of week;"{""""}";{ヨウ};"[{""meaning"":""hari"",""reading"":""ようび"",""word"":""曜日""}]";;{};Matahari dengan burung;Sun with bird;88;2026-02-07 02:59:41.845716+00
n4_089;有;N4;6;ada, memiliki;have, exist;{あ.る};{ユウ,ウ};"[{""meaning"":""terkenal"",""reading"":""ゆうめい"",""word"":""有名""}]";;{};Tangan dengan bulan;Hand with moon;89;2026-02-07 02:59:41.845716+00
